receipt_id,status,reason
receipt-000000,selected_current,source_version_order
receipt-000001,selected_current,source_version_order
receipt-000002,selected_current,source_version_order
receipt-000003,repeated_snapshot,same_business_content
receipt-000004,repeated_snapshot,same_business_content
receipt-000005,superseded_version,source_version_order
receipt-000006,selected_current,source_version_order
receipt-000007,repeated_snapshot,same_business_content
receipt-000008,selected_current,source_version_order
receipt-000009,repeated_snapshot,same_business_content
receipt-000010,selected_current,source_version_order
receipt-000011,selected_current,source_version_order
receipt-000012,selected_current,source_version_order
receipt-000013,selected_current,source_version_order
receipt-000014,selected_current,source_version_order
receipt-000015,quarantined,response_version_conflict
receipt-000016,quarantined,response_version_conflict
receipt-000017,superseded_version,source_version_order
receipt-000018,selected_current,source_version_order
receipt-000019,superseded_version,source_version_order
receipt-000020,deleted_current,source_version_order
receipt-000021,selected_current,source_version_order
receipt-000022,selected_current,source_version_order
receipt-000023,selected_current,source_version_order
receipt-000024,repeated_snapshot,same_business_content
receipt-000025,selected_current,source_version_order
receipt-000026,quarantined,score_out_of_range
receipt-000027,quarantined,score_out_of_range
receipt-000028,quarantined,invalid_timestamp
receipt-000029,quarantined,invalid_identifier
receipt-000030,quarantined,missing_snapshot_children
receipt-000031,quarantined,conflicting_question_in_snapshot
receipt-000032,quarantined,empty_question_label
receipt-000033,quarantined,event_id_payload_conflict
receipt-000034,quarantined,event_id_payload_conflict
receipt-000035,superseded_version,source_version_order
receipt-000036,selected_current,source_version_order
receipt-000037,repeated_snapshot,same_business_content
receipt-000038,quarantined,score_out_of_range
receipt-000039,selected_current,source_version_order
receipt-000040,selected_current,source_version_order
receipt-000041,selected_current,source_version_order
receipt-000042,selected_current,source_version_order
receipt-000043,selected_current,source_version_order
receipt-000044,selected_current,source_version_order
receipt-000045,selected_current,source_version_order
receipt-000046,superseded_version,source_version_order
receipt-000047,selected_current,source_version_order
receipt-000048,selected_current,source_version_order
receipt-000049,selected_current,source_version_order
receipt-000050,repeated_snapshot,same_business_content
receipt-000051,selected_current,source_version_order
receipt-000052,selected_current,source_version_order
receipt-000053,selected_current,source_version_order
receipt-000054,selected_current,source_version_order
receipt-000055,selected_current,source_version_order
receipt-000056,superseded_version,source_version_order
receipt-000057,selected_current,source_version_order
receipt-000058,selected_current,source_version_order
receipt-000059,selected_current,source_version_order
receipt-000060,selected_current,source_version_order
receipt-000061,selected_current,source_version_order
receipt-000062,repeated_snapshot,same_business_content
receipt-000063,selected_current,source_version_order
receipt-000064,selected_current,source_version_order
receipt-000065,selected_current,source_version_order
receipt-000066,superseded_version,source_version_order
receipt-000067,selected_current,source_version_order
receipt-000068,selected_current,source_version_order
receipt-000069,selected_current,source_version_order
receipt-000070,selected_current,source_version_order
receipt-000071,selected_current,source_version_order
receipt-000072,selected_current,source_version_order
receipt-000073,selected_current,source_version_order
receipt-000074,repeated_snapshot,same_business_content
receipt-000075,selected_current,source_version_order
receipt-000076,superseded_version,source_version_order
receipt-000077,selected_current,source_version_order
receipt-000078,selected_current,source_version_order
receipt-000079,selected_current,source_version_order
receipt-000080,selected_current,source_version_order
receipt-000081,selected_current,source_version_order
receipt-000082,selected_current,source_version_order
receipt-000083,selected_current,source_version_order
receipt-000084,selected_current,source_version_order
receipt-000085,superseded_version,source_version_order
receipt-000086,selected_current,source_version_order
receipt-000087,repeated_snapshot,same_business_content
receipt-000088,selected_current,source_version_order
receipt-000089,selected_current,source_version_order
receipt-000090,selected_current,source_version_order
receipt-000091,selected_current,source_version_order
receipt-000092,selected_current,source_version_order
receipt-000093,selected_current,source_version_order
receipt-000094,selected_current,source_version_order
receipt-000095,superseded_version,source_version_order
receipt-000096,selected_current,source_version_order
receipt-000097,selected_current,source_version_order
receipt-000098,selected_current,source_version_order
receipt-000099,repeated_snapshot,same_business_content
receipt-000100,selected_current,source_version_order
receipt-000101,selected_current,source_version_order
receipt-000102,selected_current,source_version_order
receipt-000103,selected_current,source_version_order
receipt-000104,selected_current,source_version_order
receipt-000105,superseded_version,source_version_order
receipt-000106,selected_current,source_version_order
receipt-000107,selected_current,source_version_order
receipt-000108,selected_current,source_version_order
receipt-000109,selected_current,source_version_order
receipt-000110,selected_current,source_version_order
receipt-000111,repeated_snapshot,same_business_content
receipt-000112,quarantined,score_out_of_range
receipt-000113,selected_current,source_version_order
receipt-000114,selected_current,source_version_order
receipt-000115,selected_current,source_version_order
receipt-000116,superseded_version,source_version_order
receipt-000117,selected_current,source_version_order
receipt-000118,selected_current,source_version_order
receipt-000119,selected_current,source_version_order
receipt-000120,selected_current,source_version_order
receipt-000121,selected_current,source_version_order
receipt-000122,selected_current,source_version_order
receipt-000123,selected_current,source_version_order
receipt-000124,repeated_snapshot,same_business_content
receipt-000125,selected_current,source_version_order
receipt-000126,superseded_version,source_version_order
receipt-000127,selected_current,source_version_order
receipt-000128,selected_current,source_version_order
receipt-000129,selected_current,source_version_order
receipt-000130,selected_current,source_version_order
receipt-000131,selected_current,source_version_order
receipt-000132,selected_current,source_version_order
receipt-000133,selected_current,source_version_order
receipt-000134,selected_current,source_version_order
receipt-000135,superseded_version,source_version_order
receipt-000136,selected_current,source_version_order
receipt-000137,repeated_snapshot,same_business_content
receipt-000138,selected_current,source_version_order
receipt-000139,selected_current,source_version_order
receipt-000140,selected_current,source_version_order
receipt-000141,selected_current,source_version_order
receipt-000142,selected_current,source_version_order
receipt-000143,selected_current,source_version_order
receipt-000144,selected_current,source_version_order
receipt-000145,superseded_version,source_version_order
receipt-000146,selected_current,source_version_order
receipt-000147,selected_current,source_version_order
receipt-000148,selected_current,source_version_order
receipt-000149,repeated_snapshot,same_business_content
receipt-000150,selected_current,source_version_order
receipt-000151,selected_current,source_version_order
receipt-000152,selected_current,source_version_order
receipt-000153,selected_current,source_version_order
receipt-000154,selected_current,source_version_order
receipt-000155,superseded_version,source_version_order
receipt-000156,selected_current,source_version_order
receipt-000157,selected_current,source_version_order
receipt-000158,selected_current,source_version_order
receipt-000159,selected_current,source_version_order
receipt-000160,selected_current,source_version_order
receipt-000161,repeated_snapshot,same_business_content
receipt-000162,selected_current,source_version_order
receipt-000163,selected_current,source_version_order
receipt-000164,selected_current,source_version_order
receipt-000165,superseded_version,source_version_order
receipt-000166,selected_current,source_version_order
receipt-000167,selected_current,source_version_order
receipt-000168,selected_current,source_version_order
receipt-000169,selected_current,source_version_order
receipt-000170,selected_current,source_version_order
receipt-000171,selected_current,source_version_order
receipt-000172,selected_current,source_version_order
receipt-000173,repeated_snapshot,same_business_content
receipt-000174,selected_current,source_version_order
receipt-000175,superseded_version,source_version_order
receipt-000176,selected_current,source_version_order
receipt-000177,selected_current,source_version_order
receipt-000178,selected_current,source_version_order
receipt-000179,selected_current,source_version_order
receipt-000180,selected_current,source_version_order
receipt-000181,selected_current,source_version_order
receipt-000182,selected_current,source_version_order
receipt-000183,selected_current,source_version_order
receipt-000184,superseded_version,source_version_order
receipt-000185,selected_current,source_version_order
receipt-000186,repeated_snapshot,same_business_content
receipt-000187,quarantined,score_out_of_range
receipt-000188,selected_current,source_version_order
receipt-000189,selected_current,source_version_order
receipt-000190,selected_current,source_version_order
receipt-000191,selected_current,source_version_order
receipt-000192,selected_current,source_version_order
receipt-000193,selected_current,source_version_order
receipt-000194,selected_current,source_version_order
receipt-000195,superseded_version,source_version_order
receipt-000196,selected_current,source_version_order
receipt-000197,selected_current,source_version_order
receipt-000198,selected_current,source_version_order
receipt-000199,repeated_snapshot,same_business_content
receipt-000200,selected_current,source_version_order
receipt-000201,selected_current,source_version_order
receipt-000202,selected_current,source_version_order
receipt-000203,selected_current,source_version_order
receipt-000204,selected_current,source_version_order
receipt-000205,superseded_version,source_version_order
receipt-000206,selected_current,source_version_order
receipt-000207,selected_current,source_version_order
receipt-000208,selected_current,source_version_order
receipt-000209,selected_current,source_version_order
receipt-000210,selected_current,source_version_order
receipt-000211,repeated_snapshot,same_business_content
receipt-000212,selected_current,source_version_order
receipt-000213,selected_current,source_version_order
receipt-000214,selected_current,source_version_order
receipt-000215,superseded_version,source_version_order
receipt-000216,selected_current,source_version_order
receipt-000217,selected_current,source_version_order
receipt-000218,selected_current,source_version_order
receipt-000219,selected_current,source_version_order
receipt-000220,selected_current,source_version_order
receipt-000221,selected_current,source_version_order
receipt-000222,selected_current,source_version_order
receipt-000223,repeated_snapshot,same_business_content
receipt-000224,selected_current,source_version_order
receipt-000225,superseded_version,source_version_order
receipt-000226,selected_current,source_version_order
receipt-000227,selected_current,source_version_order
receipt-000228,selected_current,source_version_order
receipt-000229,selected_current,source_version_order
receipt-000230,selected_current,source_version_order
receipt-000231,selected_current,source_version_order
receipt-000232,selected_current,source_version_order
receipt-000233,selected_current,source_version_order
receipt-000234,superseded_version,source_version_order
receipt-000235,selected_current,source_version_order
receipt-000236,repeated_snapshot,same_business_content
receipt-000237,selected_current,source_version_order
receipt-000238,selected_current,source_version_order
receipt-000239,selected_current,source_version_order
receipt-000240,selected_current,source_version_order
receipt-000241,selected_current,source_version_order
receipt-000242,selected_current,source_version_order
receipt-000243,selected_current,source_version_order
receipt-000244,superseded_version,source_version_order
receipt-000245,selected_current,source_version_order
receipt-000246,selected_current,source_version_order
receipt-000247,selected_current,source_version_order
receipt-000248,repeated_snapshot,same_business_content
receipt-000249,selected_current,source_version_order
receipt-000250,selected_current,source_version_order
receipt-000251,selected_current,source_version_order
receipt-000252,selected_current,source_version_order
receipt-000253,selected_current,source_version_order
receipt-000254,superseded_version,source_version_order
receipt-000255,selected_current,source_version_order
receipt-000256,selected_current,source_version_order
receipt-000257,selected_current,source_version_order
receipt-000258,selected_current,source_version_order
receipt-000259,selected_current,source_version_order
receipt-000260,repeated_snapshot,same_business_content
receipt-000261,quarantined,score_out_of_range
receipt-000262,selected_current,source_version_order
receipt-000263,selected_current,source_version_order
receipt-000264,selected_current,source_version_order
receipt-000265,superseded_version,source_version_order
receipt-000266,selected_current,source_version_order
receipt-000267,selected_current,source_version_order
receipt-000268,selected_current,source_version_order
receipt-000269,selected_current,source_version_order
receipt-000270,selected_current,source_version_order
receipt-000271,selected_current,source_version_order
receipt-000272,selected_current,source_version_order
